Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
1617023090.1,103.76781681130396,-0.7120117082740632,-86.6445983,36.03590629999999,394.0
1617023090.2,103.5801469791198,-0.7479529479195746,-86.6445765,36.0358865,394.0
1617023092.0,100.00891342053912,-0.9127087421136924,-86.644188,36.035532200000006,394.0
1617023092.1,99.75042790098465,-0.8961408908080187,-86.6441667,36.0355128,394.0
1617023092.2,99.60893979904056,-0.8773240169497869,-86.6441455,36.0354935,394.0
1617023092.3,99.43600297976988,-0.8563562651553898,-86.6441243,36.0354742,394.0
1617023092.4,99.24333611804768,-0.8333467651886917,-86.644103,36.035455,394.0
1617023093.7,97.61521153955364,-0.4040370058125413,-86.64383070000001,36.0352095,394.0
1617023093.8,97.54534245079574,-0.3658700457271561,-86.64381,36.0351908,394.0
1617023093.9,97.49288156288156,-0.3278558649096642,-86.6437893,36.0351722,394.0
1617023094.0,97.49075204090047,-0.2902117900694455,-86.64376850000001,36.0351537,394.0
1617023094.1,97.38,-0.2531529531342784,-86.643748,36.035135,394.0
1617023094.2,97.35199814595552,-0.2168869690407439,-86.6437273,36.0351165,394.0
1617023094.3,97.38474979845137,-0.1816077186550464,-86.6437068,36.035098,394.0
1617023094.4,97.33564484269502,-0.14749689839558,-86.6436863,36.0350795,394.0
1617023094.5,97.29381758028944,-0.1147192105450919,-86.6436658,36.035061,394.0
1617023094.6,97.27740838897576,-0.0834319497857404,-86.6436453,36.035042700000005,394.0
1617023094.7,97.309005553847,-0.053781012022346,-86.6436248,36.0350242,394.0
1617023094.8,97.35484533804684,-0.0259152857579755,-86.64360450000001,36.03500579999999,394.0
1617023095.8,97.90013273692632,0.1229560395478335,-86.6434007,36.0348225,394.0
1617023096.7,98.14560757555712,0.0475055151527475,-86.6432172,36.0346573,394.0
1617023096.8,98.16448853519388,0.0331633174667388,-86.6431967,36.0346388,394.0
1617023096.9,98.18834128607136,0.0186531009916274,-86.6431763,36.0346205,394.0
1617023097.0,98.12954532754672,0.0041780752774058,-86.6431558,36.034602,394.0
1617023097.9,97.89067485502945,-0.1051461970770006,-86.6429713,36.034436,394.0
1617023098.0,97.87348673435964,-0.1135836145650775,-86.6429508,36.0344175,394.0
1617023098.5,97.66417497469524,-0.1428663845834037,-86.6428483,36.034325200000005,394.0
1617023098.6,97.5777861881731,-0.146721943611296,-86.64282779999999,36.0343067,394.0
1617023099.4,97.25671727125672,-0.1720239630674993,-86.6426645,36.034159,394.0
1617023099.5,97.20973957523128,-0.1742406127575364,-86.6426442,36.0341405,394.0
1617023099.6,97.11463824437078,-0.1757438789300083,-86.6426238,36.034122,394.0
1617023099.7,97.02211068141456,-0.1763281238218312,-86.6426035,36.0341037,394.0
1617023099.8,96.95567187456996,-0.1758137776637884,-86.6425832,36.0340852,394.0
1617023099.9,96.93,-0.1740739638920852,-86.64256280000001,36.0340668,394.0
1617023100.0,96.88,-0.1710422531577717,-86.6425427,36.0340485,394.0
1617023101.3,96.39104436001858,-0.067557570348351,-86.642279,36.0338108,394.0
1617023101.4,96.32562670487422,-0.0589255226898061,-86.6422587,36.0337927,394.0
1617023101.5,96.30298548715189,-0.0502638346329898,-86.6422387,36.0337745,394.0
1617023101.6,96.37678567532184,-0.0414903392278614,-86.6422183,36.03375629999999,394.0
1617023101.7,96.35579830123864,-0.0325286774422755,-86.64219820000001,36.0337382,394.0
1617023101.8,96.29937716262975,-0.0233060074832803,-86.6421778,36.033720200000005,394.0
1617023102.9,96.53817829280948,0.0978476451558303,-86.64195670000001,36.0335208,394.0
1617023103.0,96.56529329596188,0.1096008721200108,-86.6419365,36.0335027,394.0
1617023103.1,96.61782110196096,0.121259881696956,-86.64191629999999,36.0334845,394.0
1617023103.2,96.61948438889038,0.1328093057671501,-86.6418963,36.0334665,394.0
1617023103.3,96.61688557474272,0.1442471827835268,-86.6418762,36.0334483,394.0
1617023103.4,96.69107844820574,0.1555926621668826,-86.6418562,36.033430200000005,394.0
1617023104.4,97.30133915760032,0.2801056810302033,-86.6416552,36.0332487,394.0
1617023104.5,97.36095445736434,0.2958225546579381,-86.64163520000001,36.03323029999999,394.0
1617023104.6,97.40484706033872,0.3123664269288675,-86.641615,36.0332122,394.0
1617023105.1,97.82589543422584,0.4045238261296729,-86.641514,36.0331208,394.0
1617023105.2,97.91012278233542,0.4239347269422656,-86.64149379999999,36.033102500000005,394.0
1617023105.3,98.03156568855798,0.4433723400338987,-86.6414735,36.0330843,394.0
1617023105.4,98.1246805180937,0.4627543073856264,-86.6414533,36.033066,394.0
1617023106.1,98.95772460500736,0.5960641617555795,-86.641311,36.032937700000005,394.0
1617023106.2,99.11130259181245,0.6149727928609214,-86.6412905,36.0329192,394.0
1617023106.3,99.2390509277962,0.6337971873267418,-86.64126999999999,36.0329008,394.0
1617023107.3,100.82933538388951,0.7892443152192722,-86.6410642,36.0327162,394.0
