,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
1055,1055,20921,1616796158.9,62.17401367797919,0.1891582101625119,-86.7154418,36.1038302,388.384550006218
1060,1060,20926,1616796159.4,61.92732539475158,0.0,-86.71536800000001,36.1037795,391.7068420473151
1065,1065,20931,1616796159.9,61.81645339445733,0.0,-86.7152938,36.1037283,386.1583568139047
1070,1070,20936,1616796160.4,61.680763704469854,-0.0421921024353683,-86.71522,36.103677000000005,385.0
1075,1075,20941,1616796160.9,61.55246946210443,0.0,-86.7151465,36.1036258,388.99951171592846
1080,1080,20946,1616796161.4,61.44838932743635,0.0,-86.7150738,36.1035742,392.0
1085,1085,20951,1616796161.9,61.44667912409317,0.0,-86.7150013,36.1035225,388.7641242871559
1090,1090,20956,1616796162.4,61.40771486423627,0.0,-86.7149293,36.1034707,391.9080854393024
1095,1095,20961,1616796162.9,61.35055865119743,0.0,-86.71485799999999,36.103418700000006,387.0175563867831
1100,1100,20966,1616796163.4,61.25740602617016,0.0,-86.7147868,36.1033663,385.0
1105,1105,20971,1616796163.9,61.22356672529861,0.0,-86.71471650000001,36.1033137,389.34906093584976
1110,1110,20976,1616796164.4,61.18780985142625,0.0,-86.7146463,36.1032608,390.46291481967467
1115,1115,20981,1616796164.9,60.9678515625,-0.39,-86.71457679999999,36.1032073,392.0
1120,1120,20986,1616796165.4,60.53895592515982,-0.19,-86.714508,36.1031535,392.0
1125,1125,20991,1616796165.9,60.23984463463968,-0.0832727665628207,-86.7144395,36.1030993,388.2233894733256
1130,1130,20996,1616796166.4,60.04130947728161,-0.2011099776502119,-86.7143712,36.1030455,392.0
1135,1135,21001,1616796166.9,59.983918064285646,0.0,-86.7143035,36.102992,388.22936604291
1140,1140,21006,1616796167.4,59.94322836010105,0.0,-86.7142363,36.1029385,391.8462286290268
1145,1145,21011,1616796167.9,59.89042349226042,0.0,-86.7141698,36.1028848,388.761162446792
1150,1150,21016,1616796168.4,59.62365603695134,-0.1021924817038757,-86.71410350000001,36.102831,386.48020775151065
1155,1155,21021,1616796168.9,59.002713096617846,-0.3672295808741534,-86.7140375,36.102777200000006,389.0044435753587
1160,1160,21026,1616796169.4,58.54760497054558,-0.4452994252518386,-86.7139722,36.102723,385.0
1165,1165,21031,1616796169.9,57.83217478507497,-0.78,-86.71390749999999,36.1026687,388.0168185556094
1170,1170,21036,1616796170.4,55.93621453182454,-2.15,-86.7138437,36.1026147,385.2660755898802
1175,1175,21041,1616796170.9,52.99782512695959,-3.978661531562426,-86.7137808,36.102561,392.0
1180,1180,21046,1616796171.4,49.41913323093782,-3.981503416856492,-86.7137193,36.1025077,385.0
1185,1185,21051,1616796171.9,45.87575350300258,-3.53,-86.7136603,36.102456,389.3475921371493
1190,1190,21056,1616796172.4,43.78,-1.96,-86.7136052,36.1024073,392.0
1195,1195,21061,1616796172.9,41.88645759655451,-2.2305607160952543,-86.713554,36.1023618,388.7592020240248
1200,1200,21066,1616796173.4,39.86599131871222,-1.96,-86.71350670000001,36.102319,392.0
1205,1205,21071,1616796173.9,38.03420883288696,-2.15,-86.7134615,36.1022778,387.9643181982517
1210,1210,21076,1616796174.4,37.45954134929272,-0.3467789207209455,-86.7134187,36.1022385,392.0
1215,1215,21081,1616796174.9,37.42320917569866,0.0,-86.7133782,36.1022007,388.2327817971192
1220,1220,21086,1616796175.4,37.36363626692199,0.0,-86.7133395,36.1021645,385.0
1225,1225,21091,1616796175.9,37.28032152813811,0.0,-86.7133015,36.1021285,385.0
1230,1230,21096,1616796176.4,37.23661088787362,0.0,-86.7132637,36.1020923,392.0
1235,1235,21101,1616796176.9,37.263135804795326,0.0,-86.713226,36.10205620000001,387.6799616640304
1240,1240,21106,1616796177.4,37.27257483981994,0.0,-86.7131892,36.1020195,392.0
1245,1245,21111,1616796177.9,37.27159964718444,0.0,-86.7131522,36.10198320000001,388.2382536216156
1250,1250,21116,1616796178.4,37.27,0.0,-86.713115,36.101947,385.0
1255,1255,21121,1616796178.9,37.24,0.0,-86.713078,36.1019105,389.0091179251655
1260,1260,21126,1616796179.4,37.207295119597504,0.0,-86.71304079999999,36.101874,392.0
1265,1265,21131,1616796179.9,37.12007737554042,0.0,-86.7130038,36.1018375,386.6114885821122
1270,1270,21136,1616796180.4,37.17113043478261,0.0,-86.712967,36.101801,385.0
1275,1275,21141,1616796180.9,37.3032334649738,0.19,-86.7129303,36.1017645,392.0
1280,1280,21146,1616796181.4,37.6814462264416,0.39,-86.7128935,36.1017283,390.7630843262201
1285,1285,21151,1616796181.9,38.19425294352615,0.39,-86.712857,36.1016917,390.1376736346261
1290,1290,21156,1616796182.4,38.715952657436354,0.58,-86.71282020000001,36.101655,388.22668479136905
1295,1295,21161,1616796182.9,39.21969495290901,0.58,-86.712783,36.101617700000006,385.0
1300,1300,21166,1616796183.4,39.78422054331172,0.39,-86.7127453,36.10158,385.3074773098928
1305,1305,21171,1616796183.9,39.77,0.0,-86.71270729999999,36.1015415,390.0402351917429
1310,1310,21176,1616796184.4,39.69678601787933,0.0,-86.71266870000001,36.1015027,392.0
1315,1315,21181,1616796184.9,39.49050235339916,0.064230793134983,-86.7126302,36.101463200000005,392.0
1320,1320,21186,1616796185.4,38.79304449202126,-0.8314985107149447,-86.7125918,36.1014235,390.37463544928846
1325,1325,21191,1616796185.9,38.0551818936806,-0.6044062057991513,-86.7125537,36.1013838,385.0
1330,1330,21196,1616796186.4,37.41515907230559,-0.78,-86.71251600000001,36.1013443,392.0
1335,1335,21201,1616796186.9,37.14,-0.0341270829257882,-86.7124793,36.10130529999999,390.0408886389883
1340,1340,21206,1616796187.4,36.81756326181481,-0.19,-86.71244370000001,36.1012672,385.0
1345,1345,21211,1616796187.9,36.14829575697159,-0.8607689255323839,-86.7124085,36.1012295,390.1207715458498
1350,1350,21216,1616796188.4,35.05301244338002,-1.18077906162465,-86.7123738,36.101192,392.0
1355,1355,21221,1616796188.9,33.8778534770899,-1.37,-86.7123395,36.1011547,386.0135696622094
1360,1360,21226,1616796189.4,32.65107685227795,-1.17,-86.7123063,36.101118,392.0
1365,1365,21231,1616796189.9,31.85926450974677,-0.443131013932369,-86.7122745,36.1010823,388.00583529438256
1370,1370,21236,1616796190.4,31.11413267813268,-0.59,-86.7122437,36.1010482,386.1849407578929
1375,1375,21241,1616796190.9,30.48596487493348,-0.2340387137701347,-86.7122145,36.1010148,385.0
1380,1380,21246,1616796191.4,29.892335311148443,-0.674774505920155,-86.712186,36.100982,385.0
1385,1385,21251,1616796191.9,29.75841650625832,0.0,-86.712158,36.10095,392.0
1390,1390,21256,1616796192.4,29.708151327058737,0.0,-86.7121312,36.1009185,385.0
1395,1395,21261,1616796192.9,29.63432442895857,-0.0234865627457329,-86.71210479999999,36.1008873,389.4788115406308
1400,1400,21266,1616796193.4,29.00839610986989,-0.98,-86.7120785,36.1008562,385.0
1405,1405,21271,1616796193.9,28.168538429346047,-0.823585313174946,-86.7120523,36.1008252,385.0
1410,1410,21276,1616796194.4,27.948113272539388,0.0,-86.71202629999999,36.1007943,391.8578535158097
1415,1415,21281,1616796194.9,27.81859297176369,-0.1841239941477688,-86.7120008,36.1007643,389.3909939081729
1420,1420,21286,1616796195.4,27.72464388290928,-0.19,-86.7119762,36.100735,392.0
1425,1425,21291,1616796195.9,27.59021841860465,0.0,-86.7119513,36.10070579999999,390.0635467526262
1430,1430,21296,1616796196.4,27.85805039172331,0.39,-86.71192669999999,36.1006768,392.0
1435,1435,21301,1616796196.9,28.54155050995629,0.8383249093455257,-86.71190229999999,36.100648,392.0
1440,1440,21306,1616796197.4,29.50841142514432,0.98,-86.7118778,36.1006192,385.0
1445,1445,21311,1616796197.9,30.567428243086724,0.98,-86.71185279999999,36.1005902,390.05211990963625
1450,1450,21316,1616796198.4,31.36,0.77995321595336,-86.7118275,36.10056,385.0
1455,1455,21321,1616796198.9,31.82,0.19,-86.7118012,36.10052879999999,390.0514117890403
